transaction_id,customer_id,amount,currency,timestamp
txn_1001,cust_201,1300.50,INR,2026-08-22T09:15:00
txn_1002,cust_202,499.99,USD,2026-08-22T09:18:25
txn_1003,cust_203,-75.00,INR,2026-08-22T09:20:10
txn_1004,cust_204,850,EUR,2026-08-22T09:24:45
txn_1005,,1200,INR,2026-08-22T09:28:00
txn_1006,cust_206,abc,INR,2026-08-22T09:32:17
txn_1007,cust_207,2100.75,BTC,2026-08-22T09:35:30
txn_1008,cust_208,340.25,USD,22-08-2026 09:40
txn_1009,cust_209,999.00,INR,2026-08-22T09:44:11
txn_1010,cust_210,0,EUR,2026-08-22T09:48:52
txn_1011,cust_211,4500.00,INR,2026-08-22T09:52:16
txn_1012,cust_212,630.40,USD,2026-08-22T09:55:08
txn_1009,cust_209,999.00,INR,2026-08-22T09:44:11
txn_1013,cust_213,115.60,EUR,2026-08-22T10:02:31
txn_1014,cust_214,2750,INR,invalid-date
txn_1015,cust_215,89.95,USD,2026-08-22T10:09:43
txn_1016,cust_216,,INR,2026-08-22T10:13:22
txn_1017,cust_217,720.10,EUR,2026-08-22T10:18:05
,cust_218,550.00,INR,2026-08-22T10:22:47
txn_1019,cust_219,305.75,USD,2026-08-22T10:27:39
txn_1020,cust_220,1999.99,INR,2026-08-22T10:31:14
txn_1011,cust_211,9100.00,INR,2026-08-22T09:52:16
txn_1021,cust_221,42.50,EUR,2026-08-22T10:38:56
txn_1022,cust_222,780,INR,
txn_1023,cust_223,1600.25,USD,2026-08-22T10:46:19
txn_1024,cust_224,250,JPY,2026-08-22T10:50:01
txn_1025,cust_225,100.00,INR,2026-08-22T10:55:33
txn_1026,cust_226,875.35,EUR,2026-08-22T11:00:00
txn_1027,cust_227, 500.50 ,INR,2026-08-22T11:04:12
txn_1028,   ,300,USD,2026-08-22T11:08:41
txn_7001, cust_701, 1000, INR, 2026-08-22T11:04:12
txn_7001, cust_701, 2500, INR, 2026-08-22T11:04:12
