transaction_id,customer_id,amount,currency,timestamp,rejection_reason
txn_1001,cust_201,1250.50,INR,2026-08-22T09:15:00,
txn_1002,cust_202,499.99,USD,2026-08-22T09:18:25,
txn_1004,cust_204,850,EUR,2026-08-22T09:24:45,
txn_1009,cust_209,999.00,INR,2026-08-22T09:44:11,
txn_1012,cust_212,630.40,USD,2026-08-22T09:55:08,
txn_1013,cust_213,115.60,EUR,2026-08-22T10:02:31,
txn_1015,cust_215,89.95,USD,2026-08-22T10:09:43,
txn_1017,cust_217,720.10,EUR,2026-08-22T10:18:05,
txn_1019,cust_219,305.75,USD,2026-08-22T10:27:39,
txn_1020,cust_220,1999.99,INR,2026-08-22T10:31:14,
txn_1021,cust_221,42.50,EUR,2026-08-22T10:38:56,
txn_1023,cust_223,1600.25,USD,2026-08-22T10:46:19,
txn_1025,cust_225,100.00,INR,2026-08-22T10:55:33,
txn_1026,cust_226,875.35,EUR,2026-08-22T11:00:00,
txn_1027,cust_227, 500.50 ,INR,2026-08-22T11:04:12,
