transaction_id,customer_id,amount,currency,timestamp,rejection_reason
txn_0000001,cust_00002,50.17,USD,2026-09-02T09:00:03,
txn_0000002,cust_00003,50.34,EUR,2026-09-02T09:00:06,
txn_0000003,cust_00004,50.51,INR,2026-09-02T09:00:09,
txn_0000004,cust_00005,50.68,USD,2026-09-02T09:00:12,
txn_0000005,cust_00006,50.85,EUR,2026-09-02T09:00:15,
txn_0000006,cust_00007,51.02,INR,2026-09-02T09:00:18,
txn_0000007,cust_00008,51.19,USD,2026-09-02T09:00:21,
txn_0000008,cust_00009,51.36,EUR,2026-09-02T09:00:24,
txn_0000009,cust_00010,51.53,INR,2026-09-02T09:00:27,
txn_0000010,cust_00011,51.7,USD,2026-09-02T09:00:30,
txn_0000011,cust_00012,51.87,EUR,2026-09-02T09:00:33,
txn_0000012,cust_00013,52.04,INR,2026-09-02T09:00:36,
txn_0000013,cust_00014,52.21,USD,2026-09-02T09:00:39,
txn_0000014,cust_00015,52.38,EUR,2026-09-02T09:00:42,
txn_0000015,cust_00016,52.55,INR,2026-09-02T09:00:45,
txn_0000016,cust_00017,52.72,USD,2026-09-02T09:00:48,
txn_0000017,cust_00018,52.89,EUR,2026-09-02T09:00:51,
txn_0000018,cust_00019,53.06,INR,2026-09-02T09:00:54,
txn_0000019,cust_00020,53.23,USD,2026-09-02T09:00:57,
txn_0000020,cust_00021,53.4,EUR,2026-09-02T09:01:00,
txn_0000021,cust_00022,53.57,INR,2026-09-02T09:01:03,
txn_0000022,cust_00023,53.74,USD,2026-09-02T09:01:06,
txn_0000023,cust_00024,53.91,EUR,2026-09-02T09:01:09,
txn_0000024,cust_00025,54.08,INR,2026-09-02T09:01:12,
txn_0000025,cust_00026,54.25,USD,2026-09-02T09:01:15,
txn_0000026,cust_00027,54.42,EUR,2026-09-02T09:01:18,
txn_0000027,cust_00028,54.59,INR,2026-09-02T09:01:21,
txn_0000028,cust_00029,54.76,USD,2026-09-02T09:01:24,
txn_0000029,cust_00030,54.93,EUR,2026-09-02T09:01:27,
txn_0000030,cust_00031,55.1,INR,2026-09-02T09:01:30,
txn_0000031,cust_00032,55.27,USD,2026-09-02T09:01:33,
txn_0000032,cust_00033,55.44,EUR,2026-09-02T09:01:36,
txn_0000033,cust_00034,55.61,INR,2026-09-02T09:01:39,
txn_0000034,cust_00035,55.78,USD,2026-09-02T09:01:42,
txn_0000035,cust_00036,55.95,EUR,2026-09-02T09:01:45,
txn_0000036,cust_00037,56.12,INR,2026-09-02T09:01:48,
